_	dash, line, low dash, low line, underdash, underline
🧗🏽‍♀	climb karti mahila, climb karti mahila: medium skin, climber, medium skin
🧗🏾‍♀	climb karti mahila, climb karti mahila: medium-dark skin, climber, medium-dark skin
🧗🏿‍♀	climb karti mahila, climb karti mahila: dark skin, climber, dark skin
🤺	fencer, fencing, fencing karta vyakti, sword
🏇🏻	Fair skin, horse, horse racing: Fair skin, jockey, racehorse, racing, riding, sport
🏇🏼	horse, horse racing: medium-fair skin, jockey, medium-fair skin, racehorse, racing, riding, sport
🏇🏽	horse, horse racing: medium skin, jockey, medium skin, racehorse, racing, riding, sport
🏇🏾	horse, horse racing: medium-dark skin, jockey, medium-dark skin, racehorse, racing, riding, sport
🏇🏿	dark skin, horse, horse racing: dark skin, jockey, racehorse, racing, riding, sport
🏂🏻	Fair skin, ski, snow, snowboard, snowboarder, snowboarder: Fair skin, sport
🏂🏼	medium-fair skin, ski, snow, snowboard, snowboarder, snowboarder: medium-fair skin, sport
🏂🏽	medium skin, ski, snow, snowboard, snowboarder, snowboarder: medium skin, sport
🏂🏾	medium-dark skin, ski, snow, snowboard, snowboarder, snowboarder: medium-dark skin, sport
🏂🏿	dark skin, ski, snow, snowboard, snowboarder, snowboarder: dark skin, sport
🏌️	ball, golf, golf khelta vyakti
🏌🏻	Fair skin, ball, golf, golf khelta vyakti, golf khelta vyakti: Fair skin
🏌🏼	ball, golf, golf khelta vyakti, golf khelta vyakti: medium-fair skin, medium-fair skin
🏌🏽	ball, golf, golf khelta vyakti, golf khelta vyakti: medium skin, medium skin
🏌🏾	ball, golf, golf khelta vyakti, golf khelta vyakti: medium-dark skin, medium-dark skin
🏌🏿	ball, dark skin, golf, golf khelta vyakti, golf khelta vyakti: dark skin
🏌‍♂	golf, golf khelta aadmi, man
🏌🏻‍♂	Fair skin, golf, golf khelta aadmi, golf khelta aadmi: Fair skin, man
🏌🏼‍♂	golf, golf khelta aadmi, golf khelta aadmi: medium-fair skin, man, medium-fair skin
🏌🏽‍♂	golf, golf khelta aadmi, golf khelta aadmi: medium skin, man, medium skin
🏌🏾‍♂	golf, golf khelta aadmi, golf khelta aadmi: medium-dark skin, man, medium-dark skin
🏌🏿‍♂	dark skin, golf, golf khelta aadmi, golf khelta aadmi: dark skin, man
🏌‍♀	golf, golf khelti mahila, woman
🏌🏻‍♀	Fair skin, golf, golf khelti mahila, golf khelti mahila: Fair skin, woman
🏌🏼‍♀	golf, golf khelti mahila, golf khelti mahila: medium-fair skin, medium-fair skin, woman
🏌🏽‍♀	golf, golf khelti mahila, golf khelti mahila: medium skin, medium skin, woman
🏌🏾‍♀	golf, golf khelti mahila, golf khelti mahila: medium-dark skin, medium-dark skin, woman
🏌🏿‍♀	dark skin, golf, golf khelti mahila, golf khelti mahila: dark skin, woman
🏄️	surfing, surfing karta vyakti
🏄🏻	Fair skin, surfing, surfing karta vyakti, surfing karta vyakti: Fair skin
🏄🏼	medium-fair skin, surfing, surfing karta vyakti, surfing karta vyakti: medium-fair skin
🏄🏽	medium skin, surfing, surfing karta vyakti, surfing karta vyakti: medium skin
🏄🏾	medium-dark skin, surfing, surfing karta vyakti, surfing karta vyakti: medium-dark skin
🏄🏿	dark skin, surfing, surfing karta vyakti, surfing karta vyakti: dark skin
🏄‍♂	man, surfing, surfing karta aadmi
🏄🏻‍♂	Fair skin, man, surfing, surfing karta aadmi, surfing karta aadmi: Fair skin
🏄🏼‍♂	man, medium-fair skin, surfing, surfing karta aadmi, surfing karta aadmi: medium-fair skin
🏄🏽‍♂	man, medium skin, surfing, surfing karta aadmi, surfing karta aadmi: medium skin
🏄🏾‍♂	man, medium-dark skin, surfing, surfing karta aadmi, surfing karta aadmi: medium-dark skin
🏄🏿‍♂	dark skin, man, surfing, surfing karta aadmi, surfing karta aadmi: dark skin
🏄‍♀	surfing, surfing karti mahila, woman
🏄🏻‍♀	Fair skin, surfing, surfing karti mahila, surfing karti mahila: Fair skin, woman
🏄🏼‍♀	medium-fair skin, surfing, surfing karti mahila, surfing karti mahila: medium-fair skin, woman
🏄🏽‍♀	medium skin, surfing, surfing karti mahila, surfing karti mahila: medium skin, woman
🏄🏾‍♀	medium-dark skin, surfing, surfing karti mahila, surfing karti mahila: medium-dark skin, woman
🏄🏿‍♀	dark skin, surfing, surfing karti mahila, surfing karti mahila: dark skin, woman
🚣	boat, boat rowing karta vyakti, rowboat
🚣🏻	Fair skin, boat, boat rowing karta vyakti, boat rowing karta vyakti: Fair skin, rowboat
🚣🏼	boat, boat rowing karta vyakti, boat rowing karta vyakti: medium-fair skin, medium-fair skin, rowboat
🚣🏽	boat, boat rowing karta vyakti, boat rowing karta vyakti: medium skin, medium skin, rowboat
🚣🏾	boat, boat rowing karta vyakti, boat rowing karta vyakti: medium-dark skin, medium-dark skin, rowboat
🚣🏿	boat, boat rowing karta vyakti, boat rowing karta vyakti: dark skin, dark skin, rowboat
🚣‍♂	boat, boat rowing karta aadmi, man, rowboat
🚣🏻‍♂	Fair skin, boat, boat rowing karta aadmi, boat rowing karta aadmi: Fair skin, man, rowboat
🚣🏼‍♂	boat, boat rowing karta aadmi, boat rowing karta aadmi: medium-fair skin, man, medium-fair skin, rowboat
🚣🏽‍♂	boat, boat rowing karta aadmi, boat rowing karta aadmi: medium skin, man, medium skin, rowboat
🚣🏾‍♂	boat, boat rowing karta aadmi, boat rowing karta aadmi: medium-dark skin, man, medium-dark skin, rowboat
🚣🏿‍♂	boat, boat rowing karta aadmi, boat rowing karta aadmi: dark skin, dark skin, man, rowboat
🚣‍♀	boat, boat rowing karti karti mahila, boat rowing karti mahila, rowboat, woman
🚣🏻‍♀	Fair skin, boat, boat rowing karti karti mahila, boat rowing karti karti mahila: Fair skin, boat rowing karti mahila, rowboat, woman
🚣🏼‍♀	boat, boat rowing karti karti mahila, boat rowing karti karti mahila: medium-fair skin, boat rowing karti mahila, medium-fair skin, rowboat, woman
🚣🏽‍♀	boat, boat rowing karti karti mahila, boat rowing karti karti mahila: medium skin, boat rowing karti mahila, medium skin, rowboat, woman
🚣🏾‍♀	boat, boat rowing karti karti mahila, boat rowing karti karti mahila: medium-dark skin, boat rowing karti mahila, medium-dark skin, rowboat, woman
🚣🏿‍♀	boat, boat rowing karti karti mahila, boat rowing karti karti mahila: dark skin, boat rowing karti mahila, dark skin, rowboat, woman
🏊️	swim, swimming karta vyakti
🏊🏻	Fair skin, swim, swimming karta vyakti, swimming karta vyakti: Fair skin
🏊🏼	medium-fair skin, swim, swimming karta vyakti, swimming karta vyakti: medium-fair skin
🏊🏽	medium skin, swim, swimming karta vyakti, swimming karta vyakti: medium skin
🏊🏾	medium-dark skin, swim, swimming karta vyakti, swimming karta vyakti: medium-dark skin
🏊🏿	dark skin, swim, swimming karta vyakti, swimming karta vyakti: dark skin
🏊‍♂	man, swim, swimming karta aadmi
🏊🏻‍♂	Fair skin, man, swim, swimming karta aadmi, swimming karta aadmi: Fair skin
🏊🏼‍♂	man, medium-fair skin, swim, swimming karta aadmi, swimming karta aadmi: medium-fair skin
🏊🏽‍♂	man, medium skin, swim, swimming karta aadmi, swimming karta aadmi: medium skin
🏊🏾‍♂	man, medium-dark skin, swim, swimming karta aadmi, swimming karta aadmi: medium-dark skin
🏊🏿‍♂	dark skin, man, swim, swimming karta aadmi, swimming karta aadmi: dark skin
🏊‍♀	swim, swimming karti mahila, woman
🏊🏻‍♀	Fair skin, swim, swimming karti mahila, swimming karti mahila: Fair skin, woman
🏊🏼‍♀	medium-fair skin, swim, swimming karti mahila, swimming karti mahila: medium-fair skin, woman
🏊🏽‍♀	medium skin, swim, swimming karti mahila, swimming karti mahila: medium skin, woman
🏊🏾‍♀	medium-dark skin, swim, swimming karti mahila, swimming karti mahila: medium-dark skin, woman
🏊🏿‍♀	dark skin, swim, swimming karti mahila, swimming karti mahila: dark skin, woman
⛹️	ball, ball se khelta vyakti
⛹🏻	Fair skin, ball, ball se khelta vyakti, ball se khelta vyakti: Fair skin
⛹🏼	ball, ball se khelta vyakti, ball se khelta vyakti: medium-fair skin, medium-fair skin
⛹🏽	ball, ball se khelta vyakti, ball se khelta vyakti: medium skin, medium skin
⛹🏾	ball, ball se khelta vyakti, ball se khelta vyakti: medium-dark skin, medium-dark skin
⛹🏿	ball, ball se khelta vyakti, ball se khelta vyakti: dark skin, dark skin
⛹‍♂	ball, ball se khelta aadmi, man
⛹🏻‍♂	Fair skin, ball, ball se khelta aadmi, ball se khelta aadmi: Fair skin, man
⛹🏼‍♂	ball, ball se khelta aadmi, ball se khelta aadmi: medium-fair skin, man, medium-fair skin
⛹🏽‍♂	ball, ball se khelta aadmi, ball se khelta aadmi: medium skin, man, medium skin
⛹🏾‍♂	ball, ball se khelta aadmi, ball se khelta aadmi: medium-dark skin, man, medium-dark skin
⛹🏿‍♂	ball, ball se khelta aadmi, ball se khelta aadmi: dark skin, dark skin, man
⛹‍♀	ball, ball se khelti mahila, woman
⛹🏻‍♀	Fair skin, ball, ball se khelti mahila, ball se khelti mahila: Fair skin, woman
⛹🏼‍♀	ball, ball se khelti mahila, ball se khelti mahila: medium-fair skin, medium-fair skin, woman
⛹🏽‍♀	ball, ball se khelti mahila, ball se khelti mahila: medium skin, medium skin, woman
⛹🏾‍♀	ball, ball se khelti mahila, ball se khelti mahila: medium-dark skin, medium-dark skin, woman
⛹🏿‍♀	ball, ball se khelti mahila, ball se khelti mahila: dark skin, dark skin, woman
🏋️	lifter, weight, weightlifting karta vyakti
🏋🏻	Fair skin, lifter, weight, weightlifting karta vyakti, weightlifting karta vyakti: Fair skin
🏋🏼	lifter, medium-fair skin, weight, weightlifting karta vyakti, weightlifting karta vyakti: medium-fair skin
🏋🏽	lifter, medium skin, weight, weightlifting karta vyakti, weightlifting karta vyakti: medium skin
🏋🏾	lifter, medium-dark skin, weight, weightlifting karta vyakti, weightlifting karta vyakti: medium-dark skin
🏋🏿	dark skin, lifter, weight, weightlifting karta vyakti, weightlifting karta vyakti: dark skin
🏋‍♂	man, weight lifter, weightlifting karta aadmi
🏋🏻‍♂	Fair skin, man, weight lifter, weightlifting karta aadmi, weightlifting karta aadmi: Fair skin
🏋🏼‍♂	man, medium-fair skin, weight lifter, weightlifting karta aadmi, weightlifting karta aadmi: medium-fair skin
🏋🏽‍♂	man, medium skin, weight lifter, weightlifting karta aadmi, weightlifting karta aadmi: medium skin
🏋🏾‍♂	man, medium-dark skin, weight lifter, weightlifting karta aadmi, weightlifting karta aadmi: medium-dark skin
🏋🏿‍♂	dark skin, man, weight lifter, weightlifting karta aadmi, weightlifting karta aadmi: dark skin
🏋‍♀	weight lifter, weightlifting karti mahila, woman
🏋🏻‍♀	Fair skin, weight lifter, weightlifting karti mahila, weightlifting karti mahila: Fair skin, woman
🏋🏼‍♀	medium-fair skin, weight lifter, weightlifting karti mahila, weightlifting karti mahila: medium-fair skin, woman
🏋🏽‍♀	medium skin, weight lifter, weightlifting karti mahila, weightlifting karti mahila: medium skin, woman
🏋🏾‍♀	medium-dark skin, weight lifter, weightlifting karti mahila, weightlifting karti mahila: medium-dark skin, woman
🏋🏿‍♀	dark skin, weight lifter, weightlifting karti mahila, weightlifting karti mahila: dark skin, woman
🚴	bicycle, biking, cycle chalaata vyakti, cyclist
🚴🏻	Fair skin, bicycle, biking, cycle chalaata vyakti, cycle chalaata vyakti: Fair skin, cyclist
🚴🏼	bicycle, biking, cycle chalaata vyakti, cycle chalaata vyakti: medium-fair skin, cyclist, medium-fair skin
🚴🏽	bicycle, biking, cycle chalaata vyakti, cycle chalaata vyakti: medium skin, cyclist, medium skin
🚴🏾	bicycle, biking, cycle chalaata vyakti, cycle chalaata vyakti: medium-dark skin, cyclist, medium-dark skin
🚴🏿	bicycle, biking, cycle chalaata vyakti, cycle chalaata vyakti: dark skin, cyclist, dark skin
🚴‍♂	bicycle, biking, cycle chalaata aadmi, cyclist, man
🚴🏻‍♂	Fair skin, bicycle, biking, cycle chalaata aadmi, cycle chalaata aadmi: Fair skin, cyclist, man
🚴🏼‍♂	bicycle, biking, cycle chalaata aadmi, cycle chalaata aadmi: medium-fair skin, cyclist, man, medium-fair skin
🚴🏽‍♂	bicycle, biking, cycle chalaata aadmi, cycle chalaata aadmi: medium skin, cyclist, man, medium skin
🚴🏾‍♂	bicycle, biking, cycle chalaata aadmi, cycle chalaata aadmi: medium-dark skin, cyclist, man, medium-dark skin
🚴🏿‍♂	bicycle, biking, cycle chalaata aadmi, cycle chalaata aadmi: dark skin, cyclist, dark skin, man
🚴‍♀	bicycle, biking, cycle chalaati mahila, cyclist, woman
🚴🏻‍♀	Fair skin, bicycle, biking, cycle chalaati mahila, cycle chalaati mahila: Fair skin, cyclist, woman
🚴🏼‍♀	bicycle, biking, cycle chalaati mahila, cycle chalaati mahila: medium-fair skin, cyclist, medium-fair skin, woman
🚴🏽‍♀	bicycle, biking, cycle chalaati mahila, cycle chalaati mahila: medium skin, cyclist, medium skin, woman
🚴🏾‍♀	bicycle, biking, cycle chalaati mahila, cycle chalaati mahila: medium-dark skin, cyclist, medium-dark skin, woman
🚴🏿‍♀	bicycle, biking, cycle chalaati mahila, cycle chalaati mahila: dark skin, cyclist, dark skin, woman
🚵	bicycle, bicyclist, bike, cyclist, mountain, mountain biking karta vyakti, person mountain biking
🚵🏻	Fair skin, bicycle, bicyclist, bike, cyclist, mountain, mountain biking karta vyakti, mountain biking karta vyakti: Fair skin, person mountain biking
🚵🏼	bicycle, bicyclist, bike, cyclist, medium-fair skin, mountain, mountain biking karta vyakti, mountain biking karta vyakti: medium-fair skin, person mountain biking
🚵🏽	bicycle, bicyclist, bike, cyclist, medium skin, mountain, mountain biking karta vyakti, mountain biking karta vyakti: medium skin, person mountain biking
🚵🏾	bicycle, bicyclist, bike, cyclist, medium-dark skin, mountain, mountain biking karta vyakti, mountain biking karta vyakti: medium-dark skin, person mountain biking
🚵🏿	bicycle, bicyclist, bike, cyclist, dark skin, mountain, mountain biking karta vyakti, mountain biking karta vyakti: dark skin, person mountain biking
🚵‍♂	bicycle, bike, cyclist, man, mountain, mountain biking karta aadmi
🚵🏻‍♂	Fair skin, bicycle, bike, cyclist, man, mountain, mountain biking karta aadmi, mountain biking karta aadmi: Fair skin
🚵🏼‍♂	bicycle, bike, cyclist, man, medium-fair skin, mountain, mountain biking karta aadmi, mountain biking karta aadmi: medium-fair skin
🚵🏽‍♂	bicycle, bike, cyclist, man, medium skin, mountain, mountain biking karta aadmi, mountain biking karta aadmi: medium skin
🚵🏾‍♂	bicycle, bike, cyclist, man, medium-dark skin, mountain, mountain biking karta aadmi, mountain biking karta aadmi: medium-dark skin
🚵🏿‍♂	bicycle, bike, cyclist, dark skin, man, mountain, mountain biking karta aadmi, mountain biking karta aadmi: dark skin
🚵‍♀	bicycle, bike, biking, cyclist, mountain, mountain biking karti mahila, woman
🚵🏻‍♀	Fair skin, bicycle, bike, biking, cyclist, mountain, mountain biking karti mahila, mountain biking karti mahila: Fair skin, woman
🚵🏼‍♀	bicycle, bike, biking, cyclist, medium-fair skin, mountain, mountain biking karti mahila, mountain biking karti mahila: medium-fair skin, woman
🚵🏽‍♀	bicycle, bike, biking, cyclist, medium skin, mountain, mountain biking karti mahila, mountain biking karti mahila: medium skin, woman
🚵🏾‍♀	bicycle, bike, biking, cyclist, medium-dark skin, mountain, mountain biking karti mahila, mountain biking karti mahila: medium-dark skin, woman
🚵🏿‍♀	bicycle, bike, biking, cyclist, dark skin, mountain, mountain biking karti mahila, mountain biking karti mahila: dark skin, woman
🤸	cartwheel, cartwheeling karta vyakti, gymnastics
🤸🏻	Fair skin, cartwheel, cartwheeling karta vyakti, cartwheeling karta vyakti: Fair skin, gymnastics
🤸🏼	cartwheel, cartwheeling karta vyakti, cartwheeling karta vyakti: medium-fair skin, gymnastics, medium-fair skin
🤸🏽	cartwheel, cartwheeling karta vyakti, cartwheeling karta vyakti: medium skin, gymnastics, medium skin
🤸🏾	cartwheel, cartwheeling karta vyakti, cartwheeling karta vyakti: medium-dark skin, gymnastics, medium-dark skin
🤸🏿	cartwheel, cartwheeling karta vyakti, cartwheeling karta vyakti: dark skin, dark skin, gymnastics
🤸‍♂	cartwheel, cartwheeling karta aadmi, gymnastics, man
🤸🏻‍♂	Fair skin, cartwheel, cartwheeling karta aadmi, cartwheeling karta aadmi: Fair skin, gymnastics, man
🤸🏼‍♂	cartwheel, cartwheeling karta aadmi, cartwheeling karta aadmi: medium-fair skin, gymnastics, man, medium-fair skin
🤸🏽‍♂	cartwheel, cartwheeling karta aadmi, cartwheeling karta aadmi: medium skin, gymnastics, man, medium skin
🤸🏾‍♂	cartwheel, cartwheeling karta aadmi, cartwheeling karta aadmi: medium-dark skin, gymnastics, man, medium-dark skin
🤸🏿‍♂	cartwheel, cartwheeling karta aadmi, cartwheeling karta aadmi: dark skin, dark skin, gymnastics, man
🤸‍♀	cartwheel, cartwheeling karti mahila, gymnastics, woman
🤸🏻‍♀	Fair skin, cartwheel, cartwheeling karti mahila, cartwheeling karti mahila: Fair skin, gymnastics, woman
🤸🏼‍♀	cartwheel, cartwheeling karti mahila, cartwheeling karti mahila: medium-fair skin, gymnastics, medium-fair skin, woman
🤸🏽‍♀	cartwheel, cartwheeling karti mahila, cartwheeling karti mahila: medium skin, gymnastics, medium skin, woman
🤸🏾‍♀	cartwheel, cartwheeling karti mahila, cartwheeling karti mahila: medium-dark skin, gymnastics, medium-dark skin, woman
🤸🏿‍♀	cartwheel, cartwheeling karti mahila, cartwheeling karti mahila: dark skin, dark skin, gymnastics, woman
🤼	wrestle, wrestler, wrestling karte log
🤼‍♂	men, wrestle, wrestling karte aadmi
🤼‍♀	women, wrestle, wrestling karti mahilaayein
🤽	polo, water, water polo khelta vyakti, water polo kheltaperson
🤽🏻	Fair skin, polo, water, water polo khelta vyakti, water polo khelta vyakti: Fair skin, water polo kheltaperson
🤽🏼	medium-fair skin, polo, water, water polo khelta vyakti, water polo khelta vyakti: medium-fair skin, water polo kheltaperson
🤽🏽	medium skin, polo, water, water polo khelta vyakti, water polo khelta vyakti: medium skin, water polo kheltaperson
🤽🏾	medium-dark skin, polo, water, water polo khelta vyakti, water polo khelta vyakti: medium-dark skin, water polo kheltaperson
🤽🏿	dark skin, polo, water, water polo khelta vyakti, water polo khelta vyakti: dark skin, water polo kheltaperson
🤽‍♂	man, water polo, water polo khelta aadmi
🤽🏻‍♂	Fair skin, man, water polo, water polo khelta aadmi, water polo khelta aadmi: Fair skin
🤽🏼‍♂	man, medium-fair skin, water polo, water polo khelta aadmi, water polo khelta aadmi: medium-fair skin
🤽🏽‍♂	man, medium skin, water polo, water polo khelta aadmi, water polo khelta aadmi: medium skin
🤽🏾‍♂	man, medium-dark skin, water polo, water polo khelta aadmi, water polo khelta aadmi: medium-dark skin
🤽🏿‍♂	dark skin, man, water polo, water polo khelta aadmi, water polo khelta aadmi: dark skin
🤽‍♀	water polo, water polo khelti mahila, woman
🤽🏻‍♀	Fair skin, water polo, water polo khelti mahila, water polo khelti mahila: Fair skin, woman
🤽🏼‍♀	medium-fair skin, water polo, water polo khelti mahila, water polo khelti mahila: medium-fair skin, woman
🤽🏽‍♀	medium skin, water polo, water polo khelti mahila, water polo khelti mahila: medium skin, woman
🤽🏾‍♀	medium-dark skin, water polo, water polo khelti mahila, water polo khelti mahila: medium-dark skin, woman
🤽🏿‍♀	dark skin, water polo, water polo khelti mahila, water polo khelti mahila: dark skin, woman
🤾	ball, handball, handball khelta vyakti
🤾🏻	Fair skin, ball, handball, handball khelta vyakti, handball khelta vyakti: Fair skin
🤾🏼	ball, handball, handball khelta vyakti, handball khelta vyakti: medium-fair skin, medium-fair skin
🤾🏽	ball, handball, handball khelta vyakti, handball khelta vyakti: medium skin, medium skin
🤾🏾	ball, handball, handball khelta vyakti, handball khelta vyakti: medium-dark skin, medium-dark skin
🤾🏿	ball, dark skin, handball, handball khelta vyakti, handball khelta vyakti: dark skin
🤾‍♂	handball, handball khelta aadmi, man
🤾🏻‍♂	Fair skin, handball, handball khelta aadmi, handball khelta aadmi: Fair skin, man
🤾🏼‍♂	handball, handball khelta aadmi, handball khelta aadmi: medium-fair skin, man, medium-fair skin
🤾🏽‍♂	handball, handball khelta aadmi, handball khelta aadmi: medium skin, man, medium skin
🤾🏾‍♂	handball, handball khelta aadmi, handball khelta aadmi: medium-dark skin, man, medium-dark skin
🤾🏿‍♂	dark skin, handball, handball khelta aadmi, handball khelta aadmi: dark skin, man
🤾‍♀	handball, handball khelti mahila, woman
🤾🏻‍♀	Fair skin, handball, handball khelti mahila, handball khelti mahila: Fair skin, woman
🤾🏼‍♀	handball, handball khelti mahila, handball khelti mahila: medium-fair skin, medium-fair skin, woman
🤾🏽‍♀	handball, handball khelti mahila, handball khelti mahila: medium skin, medium skin, woman
🤾🏾‍♀	handball, handball khelti mahila, handball khelti mahila: medium-dark skin, medium-dark skin, woman
🤾🏿‍♀	dark skin, handball, handball khelti mahila, handball khelti mahila: dark skin, woman
🤹	balance, juggle, juggling karta vyakti, multitask, skill
🤹🏻	Fair skin, balance, juggle, juggling karta vyakti, juggling karta vyakti: Fair skin, multitask, skill
🤹🏼	balance, juggle, juggling karta vyakti, juggling karta vyakti: medium-fair skin, medium-fair skin, multitask, skill
🤹🏽	balance, juggle, juggling karta vyakti, juggling karta vyakti: medium skin, medium skin, multitask, skill
🤹🏾	balance, juggle, juggling karta vyakti, juggling karta vyakti: medium-dark skin, medium-dark skin, multitask, skill
🤹🏿	balance, dark skin, juggle, juggling karta vyakti, juggling karta vyakti: dark skin, multitask, skill
🤹‍♂	juggling, juggling karta aadmi, man, multitask
🤹🏻‍♂	Fair skin, juggling, juggling karta aadmi, juggling karta aadmi: Fair skin, man, multitask
🤹🏼‍♂	juggling, juggling karta aadmi, juggling karta aadmi: medium-fair skin, man, medium-fair skin, multitask
🤹🏽‍♂	juggling, juggling karta aadmi, juggling karta aadmi: medium skin, man, medium skin, multitask
🤹🏾‍♂	juggling, juggling karta aadmi, juggling karta aadmi: medium-dark skin, man, medium-dark skin, multitask
🤹🏿‍♂	dark skin, juggling, juggling karta aadmi, juggling karta aadmi: dark skin, man, multitask
🤹‍♀	juggling, juggling karti mahila, multitask, woman
🤹🏻‍♀	Fair skin, juggling, juggling karti mahila, juggling karti mahila: Fair skin, multitask, woman
🤹🏼‍♀	juggling, juggling karti mahila, juggling karti mahila: medium-fair skin, medium-fair skin, multitask, woman
🤹🏽‍♀	juggling, juggling karti mahila, juggling karti mahila: medium skin, medium skin, multitask, woman
🤹🏾‍♀	juggling, juggling karti mahila, juggling karti mahila: medium-dark skin, medium-dark skin, multitask, woman
🤹🏿‍♀	dark skin, juggling, juggling karti mahila, juggling karti mahila: dark skin, multitask, woman
🧘	meditation, padmaasan mein baitha vyakti, yoga
🧘🏻	Fair skin, meditation, padmaasan mein baitha vyakti, padmaasan mein baitha vyakti: Fair skin, yoga
🧘🏼	meditation, medium-fair skin, padmaasan mein baitha vyakti, padmaasan mein baitha vyakti: medium-fair skin, yoga
🧘🏽	meditation, medium skin, padmaasan mein baitha vyakti, padmaasan mein baitha vyakti: medium skin, yoga
🧘🏾	meditation, medium-dark skin, padmaasan mein baitha vyakti, padmaasan mein baitha vyakti: medium-dark skin, yoga
🧘🏿	dark skin, meditation, padmaasan mein baitha vyakti, padmaasan mein baitha vyakti: dark skin, yoga
🧘‍♂	meditation, padmaasan mein baitha aadmi, yoga
🧘🏻‍♂	Fair skin, meditation, padmaasan mein baitha aadmi, padmaasan mein baitha aadmi: Fair skin, yoga
🧘🏼‍♂	meditation, medium-fair skin, padmaasan mein baitha aadmi, padmaasan mein baitha aadmi: medium-fair skin, yoga
🧘🏽‍♂	meditation, medium skin, padmaasan mein baitha aadmi, padmaasan mein baitha aadmi: medium skin, yoga
🧘🏾‍♂	meditation, medium-dark skin, padmaasan mein baitha aadmi, padmaasan mein baitha aadmi: medium-dark skin, yoga
🧘🏿‍♂	dark skin, meditation, padmaasan mein baitha aadmi, padmaasan mein baitha aadmi: dark skin, yoga
🧘‍♀	meditation, padmaasan mein baithi mahila, yoga
🧘🏻‍♀	Fair skin, meditation, padmaasan mein baithi mahila, padmaasan mein baithi mahila: Fair skin, yoga
🧘🏼‍♀	meditation, medium-fair skin, padmaasan mein baithi mahila, padmaasan mein baithi mahila: medium-fair skin, yoga
🧘🏽‍♀	meditation, medium skin, padmaasan mein baithi mahila, padmaasan mein baithi mahila: medium skin, yoga
🧘🏾‍♀	meditation, medium-dark skin, padmaasan mein baithi mahila, padmaasan mein baithi mahila: medium-dark skin, yoga
🧘🏿‍♀	dark skin, meditation, padmaasan mein baithi mahila, padmaasan mein baithi mahila: dark skin, yoga
🛀	bath, bath leta vyakti, bathtub, person taking bath
🛀🏻	Fair skin, bath, bath leta vyakti, bath leta vyakti: Fair skin, bathtub, person taking bath
🛀🏼	bath, bath leta vyakti, bath leta vyakti: medium-fair skin, bathtub, medium-fair skin, person taking bath
🛀🏽	bath, bath leta vyakti, bath leta vyakti: medium skin, bathtub, medium skin, person taking bath
🛀🏾	bath, bath leta vyakti, bath leta vyakti: medium-dark skin, bathtub, medium-dark skin, person taking bath
🛀🏿	bath, bath leta vyakti, bath leta vyakti: dark skin, bathtub, dark skin, person taking bath
🛌	bed par sota vyakti, good night, hotel, sleep
🛌🏻	Fair skin, bed par sota vyakti, bed par sota vyakti: Fair skin, good night, hotel, sleep
🛌🏼	bed par sota vyakti, bed par sota vyakti: medium-fair skin, good night, hotel, medium-fair skin, sleep
🛌🏽	bed par sota vyakti, bed par sota vyakti: medium skin, good night, hotel, medium skin, sleep
🛌🏾	bed par sota vyakti, bed par sota vyakti: medium-dark skin, good night, hotel, medium-dark skin, sleep
🛌🏿	bed par sota vyakti, bed par sota vyakti: dark skin, dark skin, good night, hotel, sleep
🧑‍🤝‍🧑	couple, haath pakde huye, haath pakde huye log, hand, hold, person
🧑🏻‍🤝‍🧑🏻	Fair skin, couple, haath pakde huye, haath pakde huye log, haath pakde huye log: Fair skin, hand, hold, person
🧑🏻‍🤝‍🧑🏼	Fair skin, couple, haath pakde huye, haath pakde huye log, haath pakde huye log: Fair skin, medium-fair skin, hand, hold, medium-fair skin, person
🧑🏻‍🤝‍🧑🏽	Fair skin, couple, haath pakde huye, haath pakde huye log, haath pakde huye log: Fair skin, medium skin, hand, hold, medium skin, person
🧑🏻‍🤝‍🧑🏾	Fair skin, couple, haath pakde huye, haath pakde huye log, haath pakde huye log: Fair skin, medium-dark skin, hand, hold, medium-dark skin, person
🧑🏻‍🤝‍🧑🏿	Fair skin, couple, dark skin, haath pakde huye, haath pakde huye log, haath pakde huye log: Fair skin, dark skin, hand, hold, person
🧑🏼‍🤝‍🧑🏻	Fair skin, couple, haath pakde huye, haath pakde huye log, haath pakde huye log: medium-fair skin, Fair skin, hand, hold, medium-fair skin, person
🧑🏼‍🤝‍🧑🏼	couple, haath pakde huye, haath pakde huye log, haath pakde huye log: medium-fair skin, hand, hold, medium-fair skin, person
🧑🏼‍🤝‍🧑🏽	couple, haath pakde huye, haath pakde huye log, haath pakde huye log: medium-fair skin, medium skin, hand, hold, medium skin, medium-fair skin, person
🧑🏼‍🤝‍🧑🏾	couple, haath pakde huye, haath pakde huye log, haath pakde huye log: medium-fair skin, medium-dark skin, hand, hold, medium-dark skin, medium-fair skin, person
🧑🏼‍🤝‍🧑🏿	couple, dark skin, haath pakde huye, haath pakde huye log, haath pakde huye log: medium-fair skin, dark skin, hand, hold, medium-fair skin, person
🧑🏽‍🤝‍🧑🏻	Fair skin, couple, haath pakde huye, haath pakde huye log, haath pakde huye log: medium skin, Fair skin, hand, hold, medium skin, person
